model,split,accuracy,precision_spam,recall_spam,f1_spam
tfidf_logreg_with_manual_features,test,0.983225806451613,1.0,0.865979381443299,0.9281767955801105
count_nb_text_only,test,0.9793548387096774,0.9655172413793104,0.865979381443299,0.9130434782608695
tfidf_linearsvc_text_only,test,0.9780645161290322,0.9545454545454546,0.865979381443299,0.9081081081081082
tfidf_logreg_text_only,test,0.9612903225806452,0.9855072463768116,0.7010309278350515,0.8192771084337349
tfidf_linearsvc_text_only,val,0.9883570504527813,1.0,0.90625,0.9508196721311475
tfidf_logreg_with_manual_features,val,0.981888745148771,0.9880952380952381,0.8645833333333334,0.9222222222222223
count_nb_text_only,val,0.9793014230271668,0.9761904761904762,0.8541666666666666,0.9111111111111111
tfidf_logreg_text_only,val,0.96248382923674,1.0,0.6979166666666666,0.8220858895705522
